# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -130 0 16133 2068 11046823 3 ./gnome-mime-text-x-zsh.png
DUPTYPE_WITHIN_SAME_TREE -130 0 16133 2068 11052008 3 ./shellscript.png
DUPTYPE_WITHIN_SAME_TREE -130 0 16133 2068 11047842 3 ./application-x-shellscript.png
DUPTYPE_WITHIN_SAME_TREE -130 0 16133 2068 11053023 3 ./text-x-script.png
DUPTYPE_WITHIN_SAME_TREE -130 0 16133 2068 11049932 3 ./gnome-mime-text-x-install.png
DUPTYPE_FIRST_OCCURRENCE 672 0 16191 2068 11049853 3 ./gnome-quadrapassel.png
DUPTYPE_WITHIN_SAME_TREE -672 0 16191 2068 11048900 3 ./kblocks.png
DUPTYPE_FIRST_OCCURRENCE 835 0 16279 2068 11051025 3 ./key_bindings.png
DUPTYPE_WITHIN_SAME_TREE -835 0 16279 2068 11048897 3 ./ktouch.png
DUPTYPE_WITHIN_SAME_TREE -835 0 16279 2068 11047994 3 ./preferences-desktop-keyboard-shortcuts.png
DUPTYPE_FIRST_OCCURRENCE 761 0 16296 2068 11052864 3 ./ibus-setup.png
DUPTYPE_WITHIN_SAME_TREE -761 0 16296 2068 11051989 3 ./ibus.png
DUPTYPE_FIRST_OCCURRENCE 409 0 16347 2068 11047950 3 ./folder-home.png
DUPTYPE_WITHIN_SAME_TREE -409 0 16347 2068 11046846 3 ./user-home.png
DUPTYPE_WITHIN_SAME_TREE -409 0 16347 2068 11049868 3 ./folder_home.png
DUPTYPE_FIRST_OCCURRENCE 151 0 16393 2068 11053019 3 ./applications-boardgames.png
DUPTYPE_WITHIN_SAME_TREE -151 0 16393 2068 11048837 3 ./kiriki.png
DUPTYPE_WITHIN_SAME_TREE -151 0 16393 2068 11047990 3 ./gnome-tali.png
DUPTYPE_FIRST_OCCURRENCE 769 0 16412 2068 11049002 3 ./im-yahoo.png
DUPTYPE_WITHIN_SAME_TREE -769 0 16412 2068 11053851 3 ./yahoo.png
DUPTYPE_FIRST_OCCURRENCE 97 0 16455 2068 11047891 3 ./application-x-deb.png
DUPTYPE_WITHIN_SAME_TREE -97 0 16455 2068 11046962 3 ./deb.png
DUPTYPE_WITHIN_SAME_TREE -97 0 16455 2068 11053774 3 ./gnome-mime-application-x-deb.png
DUPTYPE_FIRST_OCCURRENCE 193 0 16464 2068 11050866 3 ./ark.png
DUPTYPE_WITHIN_SAME_TREE -193 0 16464 2068 11052001 3 ./file-roller.png
DUPTYPE_WITHIN_SAME_TREE -193 0 16464 2068 11046855 3 ./utilities-file-archiver.png
DUPTYPE_FIRST_OCCURRENCE 300 0 16509 2068 11052898 3 ./cups.png
DUPTYPE_WITHIN_SAME_TREE -300 0 16509 2068 11051914 3 ./libreoffice3-printeradmin.png
DUPTYPE_WITHIN_SAME_TREE -300 0 16509 2068 11050957 3 ./libreoffice34-printeradmin.png
DUPTYPE_WITHIN_SAME_TREE -300 0 16509 2068 11046937 3 ./libreoffice-printeradmin.png
DUPTYPE_WITHIN_SAME_TREE -300 0 16509 2068 11052916 3 ./preferences-desktop-printer.png
DUPTYPE_FIRST_OCCURRENCE 59 0 16522 2068 11048865 3 ./application-vnd.oasis.opendocument.formula-template.png
DUPTYPE_WITHIN_SAME_TREE -59 0 16522 2068 11051953 3 ./libreoffice-formula.png
